keyword,monthly_volume,difficulty,cpc_usd,trend,priority
"MCP protocol",12100,28,2.40,rising,high
"model context protocol tutorial",2900,15,1.80,rising,high
"build MCP server",1600,12,2.10,rising,high
"AI agent version control",880,22,3.50,rising,high
"AI agent infrastructure",3200,45,4.20,stable,medium
"multi agent collaboration",2400,38,3.10,rising,medium
"AI agent permissions",590,18,2.80,rising,medium
"AI agent rollback",210,8,1.90,rising,medium
"MCP vs function calling",720,20,2.60,rising,medium
"AI agent audit trail",340,14,3.20,rising,low
"puppyone",90,5,0.80,new,low
"contextbase AI",40,3,0.60,new,low
